TP,FP,FN,TN,Precision,Recall,F1,IoU,Accuracy,Image,Inference_ms
2054,18696,750,151556,0.09898795180675186,0.7325249643105377,0.17440772293138954,0.09553488372048588,0.887631749260355,1616.rf.c868709931a671796794fdbb95352c5a.jpg,3.52169998222962
2654,14794,1598,154010,0.15210912425405715,0.6241768579345208,0.24460826341855027,0.1393468444810493,0.9052792159763313,1675.rf.e3aa3f8d28d0247ef0284dd46dacc29f.jpg,7.288499997230247
5198,9157,3094,155607,0.3621037965840327,0.6268692715795119,0.45904530174932134,0.2978967276044593,0.929207886464497,1686.rf.809fb1b51c607e5cf787e44ef4ddd7b8.jpg,3.3753000025171787
6801,91591,1445,73219,0.06912147329044117,0.8247635216974925,0.1275530156070294,0.06812103729071574,0.46239367603550297,1706.rf.011d213c21ec78896c36728dcbc156f5.jpg,5.537599994568154
3379,4278,1037,164362,0.4412955465529412,0.7651721014319481,0.5597614047660449,0.3886588451761139,0.9692873982988166,1716.rf.85ea38b36008beaa72c5d8541f734eb0.jpg,2.767699974356219
4653,5910,2720,159773,0.44049985799071756,0.6310863963023046,0.51884473302097,0.35029737257885796,0.950131749260355,1722.rf.38b38f2e833309a4f35bfbf0432dffff.jpg,3.197099984390661
3885,110277,676,58218,0.034030588111601034,0.8517868888214912,0.06544645201714193,0.033830265243182715,0.3588607156065089,1794.rf.7a03ca09d05e9e2941f768bc8570cb54.jpg,5.586299987044185
4933,38957,777,128389,0.11239462292068263,0.863922942191525,0.19891126994815458,0.11043947433203385,0.7703980214497042,1804.rf.7e39a73f7b0d1c4bdf8094006e0cf495.jpg,4.845200019190088
2974,4678,283,165121,0.38865656037129304,0.9131102241046021,0.5452378350878638,0.37479521108538383,0.9713329789201184,1806.rf.8c87862452f4ce0232a666c180ec9942.jpg,7.424100011121482
4114,79,3098,165765,0.9811590746248233,0.5704381586166052,0.721437919295352,0.5642573035171546,0.9816417806952663,1813.rf.79f1af872f76dd8b46df4a83ed5f54c6.jpg,2.5642999971751124
3828,46807,493,121928,0.07559988150473862,0.885906040247954,0.13931143466994095,0.07487091222016337,0.7266780695266272,1818.rf.7e52c1687bfb625e86c54c9d71a66d99.jpg,3.706199990119785
